loss,val_loss,learning_rate
1.5429455041885376,0.8309072852134705,0.00019999999494757503
1.0120024681091309,0.7404599785804749,0.00019999999494757503
0.9119863510131836,0.6898433566093445,0.00019999999494757503
0.8613580465316772,0.6730916500091553,0.00019999999494757503
0.8352238535881042,0.6698237657546997,0.00019999999494757503
0.8156432509422302,0.6722568273544312,0.00019999999494757503
0.7998847961425781,0.6720920205116272,0.00019999999494757503
0.7881013751029968,0.6731852889060974,0.00019999999494757503
0.7755277156829834,0.6726105809211731,0.00019999999494757503
0.7657707929611206,0.6687426567077637,0.00019999999494757503
0.7550663352012634,0.6660003662109375,0.00019999999494757503
0.7470877170562744,0.6640922427177429,0.00019999999494757503
0.7371783256530762,0.6632862687110901,0.00019999999494757503
0.7313184142112732,0.6600084900856018,0.00019999999494757503
0.7237401008605957,0.6585528254508972,0.00019999999494757503
0.717853307723999,0.6551311016082764,0.00019999999494757503
0.7119067311286926,0.6536070704460144,0.00019999999494757503
0.7053056359291077,0.649590015411377,0.00019999999494757503
0.6992450952529907,0.6475685238838196,0.00019999999494757503
0.6949229836463928,0.6460604667663574,0.00019999999494757503
0.6905537843704224,0.6442613005638123,0.00019999999494757503
0.6855915188789368,0.6421794891357422,0.00019999999494757503
0.6811932921409607,0.6393375396728516,0.00019999999494757503
0.6767751574516296,0.6370106339454651,0.00019999999494757503
0.6721676588058472,0.6389465928077698,0.00019999999494757503
0.6700224876403809,0.6357460618019104,0.00019999999494757503
0.6651263236999512,0.6314847469329834,0.00019999999494757503
0.6632853746414185,0.6303925514221191,0.00019999999494757503
0.6591166257858276,0.6279856562614441,0.00019999999494757503
0.6549269556999207,0.625805675983429,0.00019999999494757503
0.6522262692451477,0.6228284239768982,0.00019999999494757503
0.6489943861961365,0.6227561235427856,0.00019999999494757503
0.6454758048057556,0.6221970915794373,0.00019999999494757503
0.6418535709381104,0.6159484386444092,0.00019999999494757503
0.6395153999328613,0.6172481179237366,0.00019999999494757503
0.6378286480903625,0.6128082871437073,0.00019999999494757503
0.6348568797111511,0.6129689812660217,0.00019999999494757503
0.6317367553710938,0.6114365458488464,0.00019999999494757503
0.6284312009811401,0.6119773387908936,0.00019999999494757503
0.6258969902992249,0.6088728904724121,0.00019999999494757503
0.6231167912483215,0.6091106534004211,0.00019999999494757503
0.621238648891449,0.6083779335021973,0.00019999999494757503
0.6176139712333679,0.6083900928497314,0.00019999999494757503
0.6151604056358337,0.6083823442459106,0.00019999999494757503
0.6134252548217773,0.6072918772697449,0.00019999999494757503
0.6107801198959351,0.6059513688087463,0.00019999999494757503
0.6081480383872986,0.603137731552124,0.00019999999494757503
0.6062779426574707,0.6053951382637024,0.00019999999494757503
0.6031098365783691,0.6062169671058655,0.00019999999494757503
0.5987042784690857,0.6055694222450256,0.00019999999494757503
0.6007804870605469,0.6045964360237122,0.00019999999494757503
0.5960378646850586,0.6030009388923645,0.00019999999494757503
0.5942440629005432,0.6025664806365967,0.00019999999494757503
0.5920817852020264,0.603538453578949,0.00019999999494757503
0.5901520848274231,0.6053470373153687,0.00019999999494757503
0.5883989334106445,0.6062660217285156,0.00019999999494757503
0.5859878063201904,0.6032111048698425,0.00019999999494757503
0.5851174592971802,0.6040473580360413,0.00019999999494757503
0.573120653629303,0.611396074295044,9.999999747378752e-05
0.5720453262329102,0.610120415687561,9.999999747378752e-05
0.5719573497772217,0.6075961589813232,9.999999747378752e-05
0.5710812211036682,0.6090995669364929,9.999999747378752e-05
0.5687084197998047,0.609600305557251,9.999999747378752e-05
0.5626895427703857,0.6105677485466003,4.999999873689376e-05
0.5627612471580505,0.6108439564704895,4.999999873689376e-05
0.5627613663673401,0.610359251499176,4.999999873689376e-05
0.5595216155052185,0.6113451719284058,4.999999873689376e-05
0.5598621964454651,0.6126208305358887,4.999999873689376e-05
0.5568827390670776,0.6121723651885986,2.499999936844688e-05
0.558826208114624,0.6117092370986938,2.499999936844688e-05
0.5570539236068726,0.6123210787773132,2.499999936844688e-05
0.5554860830307007,0.612044632434845,2.499999936844688e-05
0.5567838549613953,0.6113014221191406,2.499999936844688e-05
