year,month,nao,nino34,amo,scand,nino34_cpc,pdo,nao_lag0,nao_lag1,nao_lag2,nao_lag3,nao_lag6,nino34_lag0,nino34_lag1,nino34_lag2,nino34_lag3,nino34_lag6,amo_lag0,amo_lag1,amo_lag2,amo_lag3,amo_lag6,scand_lag0,scand_lag1,scand_lag2,scand_lag3,scand_lag6,nino34_cpc_lag0,nino34_cpc_lag1,nino34_cpc_lag2,nino34_cpc_lag3,nino34_cpc_lag6,pdo_lag0,pdo_lag1,pdo_lag2,pdo_lag3,pdo_lag6
1981,1,-0.08,26.18,-0.189,-0.75,-0.36,1.378,-0.08710198382707544,,,,,-0.8463995040874284,,,,,-0.9933529325116519,,,,,-0.7467906478578591,,,,,-0.35520007048247443,,,,,1.2886641050779044,,,,
1981,2,0.6,26.11,-0.188,0.59,-0.64,1.498,0.5721567516221753,-0.08547660509248775,,,,-0.9151772090315752,-0.8504693000465933,,,,-0.9886013789787053,-0.9914007791184024,,,,0.6166689030351714,-0.7472015568708166,,,,-0.6633111000832366,-0.35757370770940894,,,,1.402506634879154,1.2866684489704807,,,
1981,3,-1.65,26.64,-0.007,-0.87,-0.64,1.486,-1.6092140642025514,0.5734019137934132,-0.08570662475058033,,,-0.39443172874017957,-0.9193212554414476,-0.8540012090679318,,,-0.12857018951536264,-0.986642072565836,-0.9893843826972005,,,-0.8688915031617126,0.6150643773725929,-0.7465107316001038,,,-0.6633111000832366,-0.6657121174931736,-0.35992630870627257,,,1.391122381899029,1.4003941423423507,1.2843922620698172,,
1981,4,0.25,27.29,-0.103,-1.34,-0.53,1.385,0.23283240249388448,-1.6067108325202295,0.5724431743049746,-0.08411585276273657,,0.2442183885983217,-0.3980135931661228,-0.9229038830237103,-0.8557935691523854,,-0.5847193286782404,-0.12531618655132926,-0.9846193305347998,-0.987953059427862,,-1.3471198531018054,-0.8691955211314204,0.6142235068885229,-0.7450279394428344,,-0.5422674813115086,-0.6657121174931736,-0.6680859764024905,-0.3609704389173873,,1.2953049193163106,1.3890215730051636,1.3980331101873733,1.282160631596236,
1981,5,0.24,27.36,-0.091,1.42,-0.57,1.55,0.22313742109021903,0.23427326436684653,-1.6052583666876703,0.5736328285016556,,0.31299609354246843,0.2413259926432351,-0.40121220878710195,-0.9246792500465846,,-0.5277006862828807,-0.5821520155976975,-0.12214488914027158,-0.9831744240799811,,1.4611998188868247,-1.347005214485452,-0.8683675290766972,0.6143237047906736,,-0.586283342683046,-0.5446577422209804,-0.6680859764024905,-0.6688987967586238,,1.4518383977930287,1.2933024477505066,1.3866690253756175,1.3957064923096096,
1981,6,-0.15,27.27,-0.07,-1.07,-0.46,1.971,-0.1549668536527336,0.22458387438323033,0.2336896012616743,-1.6027414845055246,,0.22456761575713743,0.31017794803808946,0.23859833508798103,-0.4031162375619346,,-0.42791806209100125,-0.5250475369669015,-0.5795898967307395,-0.11824142611355021,,-1.072392928668135,1.458855963508436,-1.3456399858600216,-0.8667609225085218,,-0.46523972391131807,-0.5886775150472324,-0.5470232498075478,-0.6688987967586238,,1.8512359398457454,1.4496752761368277,1.2910213115433415,1.3843519062382723,
1981,7,0.08,26.65,-0.102,0.7,-0.64,1.114,0.0680177186315718,-0.15330233497780105,0.22401092774615142,0.2350857131449832,-0.08579829673666717,-0.3846063423195891,0.2216540053875629,0.3075010090437596,0.23653651359848235,-0.8551471870895647,-0.5799677751452937,-0.4251146993630085,-0.522409270781931,-0.5769904195101103,-0.9815308004719131,0.7285946870637037,-1.0725187948990935,1.4570663561016275,-1.343548439515797,-0.7471856148991154,-0.6633111000832366,-0.4676231397750392,-0.5910460594784359,-0.5479269418924237,-0.3604786977579212,1.0382105395151557,1.8486629170498043,1.4472774777049808,1.2887841401378497,1.2766681535887863
1981,8,0.38,26.33,-0.123,-0.05,-0.53,0.724,0.35886716074153535,0.06955363464537132,-0.15345733935924039,0.22541293842050683,0.5726444937825017,-0.6990187077785446,-0.38817759953828845,0.21891185681490194,0.30542219449268154,-0.9238691748127931,-0.6797503993371734,-0.5773933090451311,-0.4223431753715162,-0.5196467953355403,-0.9767386824653287,-0.03453565858538048,0.7268921779448131,-1.0714621915376863,1.4563101709950106,0.6117378182036356,-0.5422674813115086,-0.6657121174931736,-0.46998333288349337,-0.5919167072983146,-0.6674650701836655,0.6682223176610951,1.0364719235523672,1.8459674531840728,1.4449096986187384,1.3898605170109002
1981,9,-1.27,26.53,-0.044,-0.06,-0.19,0.926,-1.2408047708632644,0.360235334153857,0.06915215149778554,-0.15182527583407107,-1.6060265042588657,-0.5025109793666949,-0.7029293956290502,-0.39136896965056417,0.2168548904858545,-0.40354555347977944,-0.30437767023438844,-0.6773261466490242,-0.5748248445683388,-0.4192954530300428,-0.10936532327355591,-0.0447107298607016,-0.03557009868396086,0.7259255712420668,-1.0696492276180005,-0.8688802506993618,-0.16813265965344035,-0.5446577422209804,-0.6680859764024905,-0.47094485243211465,-0.6674650701836655,0.8598572428265316,0.6668634200937903,1.0343823962111944,1.8432664266214909,1.3785412806686888
1981,10,-0.96,26.42,-0.194,-1.35,-0.3,0.198,-0.9402603473496353,-1.2385140131428143,0.35951235696347156,0.07064854282888514,0.23374011630940011,-0.6105902299932101,-0.5062095230723215,-0.7063526220198367,-0.39327542600562243,0.23458718966447975,-1.017110700176385,-0.30138832899628365,-0.6748909399787537,-0.5722117841622295,-0.5694086519056563,-1.3572949243771266,-0.04573626237234451,-0.03567941298664208,0.7259122726008869,-1.3455175742503267,-0.28917627842516824,-0.17048967319783756,-0.5470232498075478,-0.6688987967586238,-0.5468632810164089,0.16921256203228505,0.8583016706031046,0.6650496398291377,1.0323597380268144,1.2832710414550765
