year,month,nao,nino34,amo
2021,8,-0.49,26.32,0.245
2021,9,-0.06,26.17,0.402
2021,10,-1.98,25.77,0.475
2021,11,-0.33,25.76,0.445
2021,12,0.18,25.54,0.252
2022,1,0.74,25.6,0.176
2022,2,1.46,25.86,0.133
2022,3,0.4,26.31,0.009
2022,4,-0.54,26.7,0.11
2022,5,0.71,26.82,0.197
2022,6,0.19,26.98,0.199
2022,7,-0.06,26.6,0.136
2022,8,1.76,25.88,0.358
2022,9,-1.42,25.65,0.662
2022,10,-0.27,25.73,0.483
2022,11,0.59,25.8,0.282
2022,12,-0.22,25.75,0.218
2023,1,0.95,25.83,0.192
2023,2,0.6,26.29,
2023,3,-1.57,27.17,
2023,4,-0.83,27.96,
2023,5,0.41,28.39,
2023,6,-0.28,28.57,
2023,7,-2.14,28.32,
2023,8,-1.62,28.2,
2023,9,-0.28,28.32,
2023,10,-1.7,28.44,
2023,11,-0.47,28.72,
2023,12,1.7,28.62,
2024,1,-0.27,28.35,
2024,2,0.79,28.27,
2024,3,-0.63,28.41,
2024,4,-0.99,28.59,
2024,5,-0.36,28.16,
2024,6,0.22,27.9,
2024,7,1.48,27.34,
2024,8,0.69,26.73,
2024,9,-1.25,26.45,
2024,10,0.1,26.44,
2024,11,-0.38,26.45,
2024,12,1.03,26.0,
2025,1,-1.12,25.8,
2025,2,1.36,26.32,
2025,3,-0.09,27.29,
2025,4,0.05,27.68,
2025,5,0.5,27.8,
2025,6,1.01,27.66,
2025,7,0.51,27.15,
2025,8,0.21,26.49,
2025,9,-0.63,26.25,
2025,10,-0.53,26.22,
2025,11,-0.96,26.01,
2025,12,-0.69,25.93,
2026,1,-0.93,25.96,
2026,2,0.33,26.41,
2026,3,,,
2026,4,,,
2026,5,,,
2026,6,,,
2026,7,,,
2026,8,,,
2026,9,,,
2026,10,,,
2026,11,,,
2026,12,,,
