date,year,month,chirps_count,ndvi_count,lst_count,era5_count,era5_has_skinT
1994-03,1994,3,31,0,0,1,true
1994-04,1994,4,30,0,0,1,true
1994-05,1994,5,31,0,0,1,true
1994-06,1994,6,30,0,0,1,true
1994-07,1994,7,31,0,0,1,true
1994-08,1994,8,31,0,0,1,true
1994-09,1994,9,30,0,0,1,true
1994-10,1994,10,31,0,0,1,true
1994-11,1994,11,30,0,0,1,true
1994-12,1994,12,31,0,0,1,true
1995-01,1995,1,31,0,0,1,true
1995-02,1995,2,28,0,0,1,true
1995-03,1995,3,31,0,0,1,true
1995-04,1995,4,30,0,0,1,true
1995-05,1995,5,31,0,0,1,true
1995-06,1995,6,30,0,0,1,true
1995-07,1995,7,31,0,0,1,true
1995-08,1995,8,31,0,0,1,true
1995-09,1995,9,30,0,0,1,true
1995-10,1995,10,31,0,0,1,true
1995-11,1995,11,30,0,0,1,true
1995-12,1995,12,31,0,0,1,true
1996-01,1996,1,31,0,0,1,true
1996-02,1996,2,29,0,0,1,true
1996-03,1996,3,31,0,0,1,true
1996-04,1996,4,30,0,0,1,true
1996-05,1996,5,31,0,0,1,true
1996-06,1996,6,30,0,0,1,true
1996-07,1996,7,31,0,0,1,true
1996-08,1996,8,31,0,0,1,true
1996-09,1996,9,30,0,0,1,true
1996-10,1996,10,31,0,0,1,true
1996-11,1996,11,30,0,0,1,true
1996-12,1996,12,31,0,0,1,true
1997-01,1997,1,31,0,0,1,true
1997-02,1997,2,28,0,0,1,true
1997-03,1997,3,31,0,0,1,true
1997-04,1997,4,30,0,0,1,true
1997-05,1997,5,31,0,0,1,true
1997-06,1997,6,30,0,0,1,true
1997-07,1997,7,31,0,0,1,true
1997-08,1997,8,31,0,0,1,true
1997-09,1997,9,30,0,0,1,true
1997-10,1997,10,31,0,0,1,true
1997-11,1997,11,30,0,0,1,true
1997-12,1997,12,31,0,0,1,true
1998-01,1998,1,31,0,0,1,true
1998-02,1998,2,28,0,0,1,true
1998-03,1998,3,31,0,0,1,true
1998-04,1998,4,30,0,0,1,true
1998-05,1998,5,31,0,0,1,true
1998-06,1998,6,30,0,0,1,true
1998-07,1998,7,31,0,0,1,true
1998-08,1998,8,31,0,0,1,true
1998-09,1998,9,30,0,0,1,true
1998-10,1998,10,31,0,0,1,true
1998-11,1998,11,30,0,0,1,true
1998-12,1998,12,31,0,0,1,true
1999-01,1999,1,31,0,0,1,true
1999-02,1999,2,28,0,0,1,true
1999-03,1999,3,31,0,0,1,true
1999-04,1999,4,30,0,0,1,true
1999-05,1999,5,31,0,0,1,true
1999-06,1999,6,30,0,0,1,true
1999-07,1999,7,31,0,0,1,true
1999-08,1999,8,31,0,0,1,true
1999-09,1999,9,30,0,0,1,true
1999-10,1999,10,31,0,0,1,true
1999-11,1999,11,30,0,0,1,true
1999-12,1999,12,31,0,0,1,true
2000-01,2000,1,31,0,0,1,true
2000-02,2000,2,29,1,2,1,true
2000-03,2000,3,31,2,4,1,true
2000-04,2000,4,30,2,4,1,true
2000-05,2000,5,31,2,3,1,true
2000-06,2000,6,30,2,4,1,true
2000-07,2000,7,31,2,4,1,true
2000-08,2000,8,31,2,4,1,true
2000-09,2000,9,30,2,4,1,true
2000-10,2000,10,31,2,4,1,true
2000-11,2000,11,30,1,3,1,true
2000-12,2000,12,31,2,4,1,true
2001-01,2001,1,31,2,4,1,true
2001-02,2001,2,28,2,4,1,true
2001-03,2001,3,31,2,4,1,true
2001-04,2001,4,30,2,3,1,true
2001-05,2001,5,31,2,4,1,true
2001-06,2001,6,30,2,3,1,true
2001-07,2001,7,31,2,4,1,true
2001-08,2001,8,31,2,4,1,true
2001-09,2001,9,30,2,4,1,true
2001-10,2001,10,31,1,3,1,true
2001-11,2001,11,30,2,4,1,true
2001-12,2001,12,31,2,4,1,true
2002-01,2002,1,31,2,4,1,true
2002-02,2002,2,28,2,4,1,true
2002-03,2002,3,31,2,4,1,true
2002-04,2002,4,30,2,3,1,true
2002-05,2002,5,31,2,4,1,true
2002-06,2002,6,30,2,4,1,true
2002-07,2002,7,31,2,4,1,true
2002-08,2002,8,31,2,4,1,true
2002-09,2002,9,30,2,4,1,true
2002-10,2002,10,31,1,3,1,true
2002-11,2002,11,30,2,4,1,true
